YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-11,WEEKDAY,12,TRAIN,EW22,20482,18453
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,TE15,26,120
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,BP2,1690,546
2025-11,WEEKENDS/HOLIDAY,7,TRAIN,PE2,2218,569
2025-11,WEEKDAY,7,TRAIN,BP3,18084,2441
2025-11,WEEKDAY,18,TRAIN,TE3,20621,32509
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,EW20,7640,5217
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,NS25/EW13,36277,4100
2025-11,WEEKENDS/HOLIDAY,12,TRAIN,NS5,16042,11372
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,CE1/DT16,5146,14198
2025-11,WEEKDAY,22,TRAIN,EW21/CC22,28004,10498
2025-11,WEEKDAY,12,TRAIN,CC21,10444,15650
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,DT10,2439,1477
2025-11,WEEKDAY,14,TRAIN,CC2,4702,6618
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,EW6,6078,3585
2025-11,WEEKENDS/HOLIDAY,5,TRAIN,NE13,802,175
2025-11,WEEKDAY,10,TRAIN,TE18,5586,16119
2025-11,WEEKDAY,23,TRAIN,EW28,2903,14050
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,TE26,7119,3278
2025-11,WEEKENDS/HOLIDAY,17,TRAIN,TE16,5193,4604
2025-11,WEEKDAY,15,TRAIN,SW1,3776,2718
2025-11,WEEKENDS/HOLIDAY,20,TRAIN,NE7/DT12,25007,15597
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,TE7,3949,2366
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,EW32,0,584
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,CC21,3691,6613
2025-11,WEEKENDS/HOLIDAY,19,TRAIN,TE23,2038,2972
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,SE2,443,2967
2025-11,WEEKENDS/HOLIDAY,20,TRAIN,NE13,7683,11827
2025-11,WEEKENDS/HOLIDAY,5,TRAIN,BP9,420,282
2025-11,WEEKDAY,11,TRAIN,NE13,24037,14514
2025-11,WEEKDAY,7,TRAIN,EW3,37730,18079
2025-11,WEEKDAY,15,TRAIN,NS24/NE6/CC1,38086,33487
2025-11,WEEKDAY,9,TRAIN,TE11,6673,3157
2025-11,WEEKDAY,10,TRAIN,SE5,2709,1153
2025-11,WEEKDAY,7,TRAIN,NE14,86722,24853
2025-11,WEEKDAY,5,TRAIN,BP12,2778,152
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,BP13,649,536
2025-11,WEEKDAY,8,TRAIN,TE29,14260,2127
2025-11,WEEKDAY,14,TRAIN,NE5,10702,12516
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,TE23,1809,1703
2025-11,WEEKENDS/HOLIDAY,19,TRAIN,PE1,1407,2556
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,CC5,3094,2988
2025-11,WEEKDAY,0,TRAIN,DT34,14,868
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,BP6/DT1,22960,15915
2025-11,WEEKDAY,20,TRAIN,NS11,21518,61084
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,CC11,4755,5843
2025-11,WEEKENDS/HOLIDAY,19,TRAIN,CC2,3406,1628
2025-11,WEEKDAY,13,TRAIN,EW31,1689,1042
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,PE7,490,2542
2025-11,WEEKDAY,20,TRAIN,SE2,1956,9103
2025-11,WEEKDAY,9,TRAIN,NS8,32974,12607
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,SW4,160,958
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,EW6,7289,3659
2025-11,WEEKDAY,14,TRAIN,NE8,26230,26089
2025-11,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3361,8343
2025-11,WEEKENDS/HOLIDAY,14,TRAIN,NE7/DT12,20673,22398
2025-11,WEEKDAY,12,TRAIN,DT5,15531,12147
2025-11,WEEKDAY,8,TRAIN,DT21,9828,23367
2025-11,WEEKENDS/HOLIDAY,14,TRAIN,NE4/DT19,41597,37389
2025-11,WEEKDAY,12,TRAIN,NS12,17790,11046
2025-11,WEEKDAY,9,TRAIN,DT4,4317,861
2025-11,WEEKDAY,8,TRAIN,PE6,14825,6668
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,EW8/CC9,337,823
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,NS2,8820,3971
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,NE8,136,301
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,EW2/DT32,13363,22770
2025-11,WEEKENDS/HOLIDAY,16,TRAIN,NE1/CC29,42385,36352
2025-11,WEEKDAY,20,TRAIN,PW5,1063,5894
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,PE7,1757,2114
2025-11,WEEKDAY,15,TRAIN,EW5,23630,28589
2025-11,WEEKDAY,21,TRAIN,CC16,3916,6367
2025-11,WEEKENDS/HOLIDAY,20,TRAIN,EW24/NS1,55814,24696
2025-11,WEEKDAY,7,TRAIN,NS21/DT11,65827,72033
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,DT5,95,851
2025-11,WEEKDAY,14,TRAIN,SW5,7474,7426
2025-11,WEEKDAY,11,TRAIN,PW5,2294,1290
2025-11,WEEKDAY,14,TRAIN,CC23,9047,10073
2025-11,WEEKDAY,9,TRAIN,TE15,11788,14762
2025-11,WEEKDAY,10,TRAIN,DT10,4894,1836
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,TE7,33,243
2025-11,WEEKENDS/HOLIDAY,16,TRAIN,TE24,1646,2091
2025-11,WEEKDAY,12,TRAIN,PE4,1727,1383
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,DT25,234,1443
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,DT24,2455,2114
2025-11,WEEKDAY,15,TRAIN,NS25/EW13,48528,42196
2025-11,WEEKDAY,6,TRAIN,SE3,5144,562
2025-11,WEEKDAY,11,TRAIN,EW6,11280,6261
2025-11,WEEKDAY,18,TRAIN,NE13,33808,59198
2025-11,WEEKDAY,19,TRAIN,DT24,6203,10079
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,TE28,1034,2268
2025-11,WEEKDAY,23,TRAIN,BP9,71,466
2025-11,WEEKENDS/HOLIDAY,19,TRAIN,DT31,3243,5776
2025-11,WEEKDAY,21,TRAIN,EW30,2579,1147
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,DT2,1425,1263
2025-11,WEEKDAY,22,TRAIN,TE14/NS22,74413,12507
2025-11,WEEKENDS/HOLIDAY,5,TRAIN,PE6,479,73
2025-11,WEEKENDS/HOLIDAY,10,TRAIN,PE5,4276,1396
2025-11,WEEKDAY,12,TRAIN,EW25,9612,6191
2025-11,WEEKDAY,15,TRAIN,DT3,6768,5322
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,SW5,5118,4309
2025-11,WEEKDAY,11,TRAIN,TE1,7630,6464
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,BP4,58,188
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,NE7/DT12,130,439
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,EW19,3828,8944
2025-11,WEEKDAY,18,TRAIN,PE3,6469,14812
2025-11,WEEKDAY,10,TRAIN,NE17/PTC,38102,25166
2025-11,WEEKDAY,22,TRAIN,PW5,555,3374
2025-11,WEEKDAY,11,TRAIN,NS13,41100,32008
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,NS20,14926,5441
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,TE28,571,119
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,EW15,4434,1733
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,DT10,2537,1514
2025-11,WEEKDAY,22,TRAIN,NS8,6580,15732
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,DT4,1558,622
2025-11,WEEKDAY,20,TRAIN,EW30,6443,1507
2025-11,WEEKDAY,13,TRAIN,DT24,4476,3728
2025-11,WEEKDAY,0,TRAIN,TE5,23,623
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,TE22,516,1935
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,EW11,2430,4129
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,NS7,19476,9433
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,BP7,14,126
2025-11,WEEKDAY,17,TRAIN,TE24,4327,5204
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,PW3,158,742
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,8998,11615
2025-11,WEEKDAY,11,TRAIN,EW30,1997,1127
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,NE7/DT12,22330,9620
2025-11,WEEKDAY,10,TRAIN,NS10,38906,17149
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,NS24/NE6/CC1,186,216
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,NS4/BP1,7744,17112
2025-11,WEEKDAY,23,TRAIN,EW31,89,522
2025-11,WEEKDAY,21,TRAIN,DT2,1368,2279
2025-11,WEEKDAY,16,TRAIN,DT3,6902,7062
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,NS7,17740,18681
2025-11,WEEKENDS/HOLIDAY,14,TRAIN,PW5,1435,1612
2025-11,WEEKENDS/HOLIDAY,7,TRAIN,NS24/NE6/CC1,2397,7038
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,EW8/CC9,7255,5208
2025-11,WEEKDAY,15,TRAIN,NE5,11337,11489
2025-11,WEEKENDS/HOLIDAY,20,TRAIN,SW5,2949,4032
2025-11,WEEKDAY,12,TRAIN,DT18,15709,19754
2025-11,WEEKENDS/HOLIDAY,18,TRAIN,TE16,5323,5179
2025-11,WEEKDAY,18,TRAIN,PW2,341,322
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,DT17,83,71
2025-11,WEEKDAY,14,TRAIN,EW21/CC22,19951,18823
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,NS7,11988,12707
2025-11,WEEKDAY,13,TRAIN,NE8,32439,28060
2025-11,WEEKENDS/HOLIDAY,7,TRAIN,NS21/DT11,15695,18478
2025-11,WEEKDAY,14,TRAIN,NE17/PTC,39011,42129
2025-11,WEEKENDS/HOLIDAY,17,TRAIN,TE28,2190,2779
2025-11,WEEKDAY,14,TRAIN,EW18,12716,15365
2025-11,WEEKDAY,19,TRAIN,NS18,14021,25114
2025-11,WEEKDAY,21,TRAIN,CC27,5632,805
2025-11,WEEKDAY,15,TRAIN,EW16/NE3/TE17,38266,24026
2025-11,WEEKENDS/HOLIDAY,12,TRAIN,SW4,2068,1305
2025-11,WEEKDAY,22,TRAIN,CC11,9179,6302
